Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
28-01-2003,UTIBANK,EQ,42.4,44.9,44.9,41.7,43.2,42.95,42.56,64618,2.74998E+11,,36150,0.5594
29-01-2003,UTIBANK,EQ,42.95,50,50,42.05,42.4,42.35,43.06,55307,2.38168E+11,,32654,0.5904
30-01-2003,UTIBANK,EQ,42.35,44.4,44.4,41.05,41.4,41.7,42.19,45844,1.934E+11,,27011,0.5892
31-01-2003,UTIBANK,EQ,41.7,44,44,41.2,42.45,41.85,41.59,52337,2.17667E+11,,26546,0.5072
03-02-2003,UTIBANK,EQ,41.85,44.45,44.45,41.5,42.35,42.05,42.21,48601,2.05141E+11,,33327,0.6857
04-02-2003,UTIBANK,EQ,42.05,44.15,44.15,41.95,42.1,42.15,42.25,58880,2.48776E+11,,31894,0.5417
05-02-2003,UTIBANK,EQ,42.15,43.95,43.95,41.55,41.95,41.85,41.83,24967,1.04431E+11,,18835,0.7544
06-02-2003,UTIBANK,EQ,41.85,43.95,43.95,41.55,42.95,42.65,42.19,41992,1.77166E+11,,28148,0.6703
07-02-2003,UTIBANK,EQ,42.65,43.4,43.4,42.15,42.5,42.45,42.61,47088,2.00624E+11,,28077,0.5963
10-02-2003,UTIBANK,EQ,42.45,43.45,43.45,41.75,41.9,41.9,42.04,41436,1.74197E+11,,27651,0.6673
11-02-2003,UTIBANK,EQ,41.9,41.2,41.95,40.9,41.3,41.05,41.27,39073,1.61256E+11,,30088,0.77
12-02-2003,UTIBANK,EQ,41.05,42,42,40.25,40.85,40.75,40.85,33173,1.35524E+11,,20937,0.6311
14-02-2003,UTIBANK,EQ,40.75,43,43,39.2,39.55,39.4,39.91,29020,1.1583E+11,,22660,0.7808
17-02-2003,UTIBANK,EQ,39.4,42.9,42.9,40.05,41.15,41,40.78,38201,1.55788E+11,,22267,0.5829
18-02-2003,UTIBANK,EQ,41,49,49,40.85,43.7,43.65,43.33,200999,8.70977E+11,,170060,0.8461
19-02-2003,UTIBANK,EQ,43.65,44.25,44.25,42.5,43.2,43.2,43.18,74187,3.20333E+11,,36360,0.4901
20-02-2003,UTIBANK,EQ,43.2,43.95,45,43.7,44.1,44.2,44.36,156040,6.9214E+11,,72390,0.4639
21-02-2003,UTIBANK,EQ,44.2,47.45,47.45,43.35,43.75,43.8,43.77,75742,3.31495E+11,,51332,0.6777
24-02-2003,UTIBANK,EQ,43.8,50,50,44.25,44.9,44.75,44.89,142752,6.4079E+11,,94764,0.6638
25-02-2003,UTIBANK,EQ,44.75,47,47,43.05,43.5,43.7,43.76,80089,3.50471E+11,,53919,0.6732
